CPIAUCSL_PC1,UNRATE,FEDFUNDS,T10Y2Y,High,Low,SP500 Close,Volume,ADX,RSI,BB width
1983-07-01,2.35897,9.4,9.37,0.6920000000000002,167.99199905395508,166.042000579834,166.95099868774415,79508500.0,33.19686980574859,79.50360127743703,0.6042276523951827
1983-08-01,2.4565,9.5,9.56,0.7756521739130434,163.18043518066406,161.47521839971128,162.4178247866423,74192608.69565217,34.10610357045871,73.11042759205537,0.6213197707113509
1983-09-01,2.76356,9.2,9.45,0.8638095238095237,167.88238162086122,166.3914300827753,167.1604766845703,82848095.23809524,35.26697630044547,75.34426334508272,0.6308995959637479
1983-10-01,2.75229,8.8,9.48,0.97,168.43333362397692,166.80333237420945,167.65428452264695,85458095.23809524,36.38122901922937,75.57181497740335,0.6272760640362062
1983-11-01,3.16327,8.5,9.34,1.0257894736842104,165.76143028622582,164.51095217750185,165.23095194498697,86410000.0,36.94325705017527,72.0571897809995,0.6036618067831306
1983-12-01,3.7871,8.3,9.47,0.9928571428571428,164.87904575892858,163.87238275437127,164.37142799014137,88040952.38095239,37.33133373609788,70.79948443110965,0.582532540562988
1984-01-01,4.29009,8.0,9.56,1.0319047619047619,167.16428556896392,165.74285598028274,166.39285641624815,105507619.04761904,37.887873945736125,72.03569018218903,0.5563739567130377
1984-02-01,4.69388,7.8,9.59,1.0568421052631582,158.32100143432618,156.33950119018556,157.2505012512207,96640500.0,36.59702311834787,59.72127680977608,0.49793139321494095
1984-03-01,4.89297,7.8,9.91,1.0045454545454546,158.20636333118784,156.66727378151634,157.4386381669478,84314545.45454545,35.39837592148735,59.87329659088616,0.4257337402373581
1984-04-01,4.55466,7.7,10.29,0.9474999999999998,158.34650115966798,156.80000076293945,157.60149917602538,85876500.0,34.30255707665306,60.01398564502682,0.33422970768874766
1984-05-01,4.33468,7.4,10.32,0.9386363636363636,157.39090936834162,155.9090909090909,156.55090886896306,88161363.63636364,33.11214222661959,58.58696973434282,0.27066236215012296
1984-06-01,4.32596,7.2,11.06,0.6561904761904762,153.86428687686012,152.21000162760416,153.12476094563803,86327142.85714285,31.311993402253126,54.071507383891706,0.23165570555252477
1984-07-01,4.30862,7.5,11.23,0.4847619047619047,151.71762012300036,150.34857323056175,151.07809593563988,79152380.95238096,29.309862622646012,51.51716850553606,0.20545695012997836
1984-08-01,4.2957,7.5,11.64,0.2817391304347826,165.26652195142663,163.14608631963316,164.4208692467731,109866086.95652173,29.188860754141007,63.59220474937553,0.17504740757009507
1984-09-01,4.28287,7.3,11.3,0.31789473684210534,167.0531559994346,165.43157798365542,166.1126299406353,93087368.42105263,29.25485750160068,64.7896304008334,0.15402346809105233
1984-10-01,4.26587,7.4,9.99,0.5604545454545454,165.60043334960938,164.10521731169328,164.81869440493375,91749130.43478261,29.066704430450184,63.080758620550945,0.1331731951622993
1984-11-01,4.1543,7.2,9.43,0.9236842105263157,167.05619085402716,165.57428632463728,166.27190508161272,83680000.0,29.053152239073388,64.22210988577129,0.12327919793712767
1984-12-01,4.04339,7.3,8.38,1.318,165.1009994506836,163.6909973144531,164.48000106811523,89050000.0,28.662422830864706,61.689610045349156,0.12096413404080009
1985-01-01,3.52595,7.3,8.35,1.4533333333333336,172.25454711914062,170.5363637750799,171.6127270785245,121532272.72727273,29.08485066624395,67.2291974330577,0.13004610321484492
1985-02-01,3.60624,7.2,8.5,1.3433333333333333,181.5831587942023,180.06947406969573,180.88473751670435,115506315.78947368,30.262547391056632,72.74607087048629,0.16058169518565815
1985-03-01,3.79009,7.2,8.58,1.1423809523809523,180.25809587751115,178.817141578311,179.4199981689453,102528095.23809524,31.109450842886723,70.72061361040552,0.1801623745231189
1985-04-01,3.5818,7.3,8.27,1.3457142857142859,181.25761922200522,180.00714183989027,180.61857023693267,94375238.09523809,31.97847763495746,71.42180539462902,0.19853491655927574
1985-05-01,3.57488,7.2,7.97,1.4527272727272726,185.36681643399325,183.96863555908203,184.89908946644175,106833636.36363636,33.11476113010385,73.83205209874181,0.22309113536349456
1985-06-01,3.66442,7.4,7.53,1.468,189.51050033569337,188.0564987182617,188.8859992980957,105850000.0,34.471801694478,75.87309861342021,0.25181702217443325
1985-07-01,3.45821,7.4,7.88,1.5336363636363637,193.1718181263317,191.83863553133878,192.54454456676137,111957727.27272727,35.97698820487337,77.5997062303382,0.2820180059806609
1985-08-01,3.35249,7.1,7.9,1.388181818181818,188.86500133167613,187.70636333118784,188.3063638860529,87418181.81818181,36.48461022456163,71.23953380202231,0.2968720283745489
1985-09-01,3.24737,7.1,7.92,1.3900000000000001,185.0426314504523,183.5152628045333,184.20579046952096,97903157.89473684,36.133645805691785,65.63435058523267,0.30385735602299596
1985-10-01,3.23501,7.1,7.99,1.372272727272727,186.7495641293733,185.31913027556047,186.18043451723844,110575652.17391305,35.97436183120332,66.98161692062769,0.3025092076036654
